NCM;inicio_vigencia;fim_vigencia;uTrib_abreviatura;Descricao_uTrib;
29042070;01/01/2016;;KG;Quilograma;
29042090;01/01/2016;;KG;Quilograma;
29043100;01/01/2017;;KG;Quilograma;
29043200;01/01/2017;;KG;Quilograma;
29043300;01/01/2017;;KG;Quilograma;
29043400;01/01/2017;;KG;Quilograma;
29043500;01/01/2017;;KG;Quilograma;
29043600;01/01/2017;;KG;Quilograma;
29049100;01/01/2017;;KG;Quilograma;
29049911;01/01/2017;;KG;Quilograma;
29049912;01/01/2017;;KG;Quilograma;
29049913;01/01/2017;;KG;Quilograma;
29049914;01/01/2017;;KG;Quilograma;
29049915;01/01/2017;;KG;Quilograma;
29049916;01/01/2017;;KG;Quilograma;
29049919;01/01/2017;;KG;Quilograma;
29049921;01/01/2017;;KG;Quilograma;
29049929;01/01/2017;;KG;Quilograma;
29049930;01/01/2017;;KG;Quilograma;
29049940;01/01/2017;;KG;Quilograma;
29049990;01/01/2017;;KG;Quilograma;
29051100;01/01/2016;;KG;Quilograma;
29051210;01/01/2016;;KG;Quilograma;
29051220;01/01/2016;;KG;Quilograma;
29051300;01/01/2016;;KG;Quilograma;
29051410;01/01/2016;;KG;Quilograma;
29051420;01/01/2016;;KG;Quilograma;
29051430;01/01/2016;;KG;Quilograma;
29051600;01/01/2016;;KG;Quilograma;
29051710;01/01/2016;;KG;Quilograma;
29051720;01/01/2016;;KG;Quilograma;
29051730;01/01/2016;;KG;Quilograma;
29051911;01/01/2016;;KG;Quilograma;
29051912;01/01/2016;;KG;Quilograma;
29051919;01/01/2016;;KG;Quilograma;
29051921;01/01/2016;;KG;Quilograma;
29051922;01/01/2016;;KG;Quilograma;
29051923;01/01/2016;;KG;Quilograma;
29051929;01/01/2016;;KG;Quilograma;
29051991;01/01/2016;;KG;Quilograma;
29051992;01/01/2016;;KG;Quilograma;
29051993;01/01/2016;;KG;Quilograma;
29051994;01/01/2016;;KG;Quilograma;
29051995;01/01/2016;;KG;Quilograma;
29051996;01/01/2016;;KG;Quilograma;
29051999;01/01/2016;;KG;Quilograma;
29052210;01/01/2016;;KG;Quilograma;
29052220;01/01/2016;;KG;Quilograma;
29052230;01/01/2016;;KG;Quilograma;
29052290;01/01/2016;;KG;Quilograma;
29052910;01/01/2016;;KG;Quilograma;
29052990;01/01/2016;;KG;Quilograma;
29053100;01/01/2016;;KG;Quilograma;
29053200;01/01/2016;;KG;Quilograma;
29053910;01/01/2016;;KG;Quilograma;
29053920;01/01/2016;;KG;Quilograma;
29053930;01/01/2016;;KG;Quilograma;
29053990;01/01/2016;;KG;Quilograma;
29054100;01/01/2016;;KG;Quilograma;
29054200;01/01/2016;;KG;Quilograma;
29054300;01/01/2016;;KG;Quilograma;
29054400;01/01/2016;;KG;Quilograma;
29054500;01/01/2016;;KG;Quilograma;
29054900;01/01/2016;;KG;Quilograma;
29055100;01/01/2016;;KG;Quilograma;
29055910;01/01/2016;;KG;Quilograma;
29055990;01/01/2016;;KG;Quilograma;
29061100;01/01/2016;;KG;Quilograma;
29061200;01/01/2016;;KG;Quilograma;
29061300;01/01/2016;;KG;Quilograma;
29061910;01/01/2016;;KG;Quilograma;
29061920;01/01/2016;;KG;Quilograma;
29061930;01/01/2016;;KG;Quilograma;
29061940;01/01/2016;;KG;Quilograma;
29061950;01/01/2016;;KG;Quilograma;
29061990;01/01/2016;;KG;Quilograma;
29062100;01/01/2016;;KG;Quilograma;
29062910;01/01/2016;;KG;Quilograma;
29062920;01/01/2016;;KG;Quilograma;
29062990;01/01/2016;;KG;Quilograma;
29071100;01/01/2016;;KG;Quilograma;
29071200;01/01/2016;;KG;Quilograma;
29071300;01/01/2016;;KG;Quilograma;
29071510;01/01/2016;;KG;Quilograma;
29071590;01/01/2016;;KG;Quilograma;
29071910;01/01/2016;;KG;Quilograma;
29071920;01/01/2016;;KG;Quilograma;
29071930;01/01/2016;;KG;Quilograma;
29071940;01/01/2016;;KG;Quilograma;
29071990;01/01/2016;;KG;Quilograma;
29072100;01/01/2016;;KG;Quilograma;
29072200;01/01/2016;;KG;Quilograma;
29072300;01/01/2016;;KG;Quilograma;
29072900;01/01/2016;;KG;Quilograma;
29081100;01/01/2016;;KG;Quilograma;
29081911;01/01/2016;;KG;Quilograma;
29081912;01/01/2016;;KG;Quilograma;
29081913;01/01/2016;;KG;Quilograma;
29081914;01/01/2016;;KG;Quilograma;
29081915;01/01/2016;;KG;Quilograma;
29081916;01/07/2021;;KG;Quilograma;
29081919;01/01/2016;;KG;Quilograma;
29081921;01/01/2016;;KG;Quilograma;
29081929;01/01/2016;;KG;Quilograma;
29081990;01/01/2016;;KG;Quilograma;
29089100;01/01/2016;;KG;Quilograma;
29089200;01/01/2016;;KG;Quilograma;
29089912;01/01/2016;;KG;Quilograma;
29089913;01/01/2016;;KG;Quilograma;
29089919;01/01/2016;;KG;Quilograma;
29089921;01/01/2016;;KG;Quilograma;
29089929;01/01/2016;;KG;Quilograma;
29089930;01/01/2016;;KG;Quilograma;
29089990;01/01/2016;;KG;Quilograma;
29091100;01/01/2016;;KG;Quilograma;
29091910;01/01/2016;;KG;Quilograma;
29091920;01/01/2019;;KG;Quilograma;
29091990;01/01/2016;;KG;Quilograma;
29092000;01/01/2016;;KG;Quilograma;
29093011;01/01/2016;;KG;Quilograma;
29093012;01/01/2016;;KG;Quilograma;
29093013;01/01/2016;;KG;Quilograma;
29093014;01/01/2016;;KG;Quilograma;
29093019;01/01/2016;;KG;Quilograma;
29093021;01/01/2016;;KG;Quilograma;
29093022;01/07/2021;;KG;Quilograma;
29093023;01/07/2021;;KG;Quilograma;
29093024;01/07/2021;;KG;Quilograma;
29093025;01/07/2021;;KG;Quilograma;
29093029;01/01/2016;;KG;Quilograma;
29094100;01/01/2016;;KG;Quilograma;
29094310;01/01/2016;;KG;Quilograma;
29094320;01/01/2016;;KG;Quilograma;
29094411;01/01/2016;;KG;Quilograma;
29094412;01/01/2016;;KG;Quilograma;
29094413;01/01/2016;;KG;Quilograma;
29094419;01/01/2016;;KG;Quilograma;
29094421;01/01/2016;;KG;Quilograma;
29094429;01/01/2016;;KG;Quilograma;
29094910;01/01/2016;;KG;Quilograma;
29094921;01/01/2016;;KG;Quilograma;
29094922;01/01/2016;;KG;Quilograma;
29094923;01/01/2016;;KG;Quilograma;
29094924;01/01/2016;;KG;Quilograma;
29094929;01/01/2016;;KG;Quilograma;
29094931;01/01/2016;;KG;Quilograma;
29094932;01/01/2016;;KG;Quilograma;
29094939;01/01/2016;;KG;Quilograma;
29094941;01/01/2016;;KG;Quilograma;
29094949;01/01/2016;;KG;Quilograma;
29094950;01/01/2016;;KG;Quilograma;
29094990;01/01/2016;;KG;Quilograma;
29095011;01/01/2016;;KG;Quilograma;
29095012;01/01/2016;;KG;Quilograma;
29095013;01/01/2016;;KG;Quilograma;
29095019;01/01/2016;;KG;Quilograma;
29095090;01/01/2016;;KG;Quilograma;
29096011;01/01/2016;;KG;Quilograma;
29096012;01/01/2016;;KG;Quilograma;
29096013;01/01/2016;;KG;Quilograma;
29096019;01/01/2016;;KG;Quilograma;
29096090;01/04/2022;;KG;Quilograma;
29101000;01/01/2016;;KG;Quilograma;
29102000;01/01/2016;;KG;Quilograma;
29103000;01/01/2016;;KG;Quilograma;
29104000;01/01/2016;;KG;Quilograma;
29105000;01/01/2017;;KG;Quilograma;
29109010;01/01/2016;;KG;Quilograma;
29109090;01/01/2016;;KG;Quilograma;
29110010;01/01/2016;;KG;Quilograma;
29110090;01/01/2016;;KG;Quilograma;
29121100;01/01/2016;;KG;Quilograma;
29121200;01/01/2016;;KG;Quilograma;
29121911;01/01/2016;;KG;Quilograma;
29121912;01/01/2016;;KG;Quilograma;
29121919;01/01/2016;;KG;Quilograma;
29121921;01/01/2016;;KG;Quilograma;
29121922;01/01/2016;;KG;Quilograma;
29121923;01/01/2016;;KG;Quilograma;
29121929;01/01/2016;;KG;Quilograma;
29121991;01/01/2016;;KG;Quilograma;
29121999;01/01/2016;;KG;Quilograma;
29122100;01/01/2016;;KG;Quilograma;
29122910;01/01/2016;;KG;Quilograma;
29122920;01/01/2016;;KG;Quilograma;
29122990;01/01/2016;;KG;Quilograma;
29124100;01/01/2016;;KG;Quilograma;
29124200;01/01/2016;;KG;Quilograma;
29124910;01/01/2016;;KG;Quilograma;
29124920;01/01/2016;;KG;Quilograma;
29124930;01/01/2016;;KG;Quilograma;
29124941;01/01/2016;;KG;Quilograma;
29124949;01/01/2016;;KG;Quilograma;
29124990;01/01/2016;;KG;Quilograma;
29125000;01/01/2016;;KG;Quilograma;
29126000;01/01/2016;;KG;Quilograma;
29130010;01/01/2016;;KG;Quilograma;
29130090;01/01/2016;;KG;Quilograma;
29141100;01/01/2016;;KG;Quilograma;
29141200;01/01/2016;;KG;Quilograma;
29141300;01/01/2016;;KG;Quilograma;
29141910;01/01/2016;;KG;Quilograma;
29141921;01/01/2016;;KG;Quilograma;
29141922;01/01/2016;;KG;Quilograma;
29141923;01/01/2016;;KG;Quilograma;
29141929;01/01/2016;;KG;Quilograma;
29141930;01/01/2016;;KG;Quilograma;
29141940;01/01/2016;;KG;Quilograma;
29141950;01/01/2016;;KG;Quilograma;
29141990;01/01/2016;;KG;Quilograma;
29142210;01/01/2016;;KG;Quilograma;
29142220;01/01/2016;;KG;Quilograma;
29142310;01/01/2016;;KG;Quilograma;
29142320;01/01/2016;;KG;Quilograma;
29142910;01/01/2016;;KG;Quilograma;
29142920;01/01/2016;;KG;Quilograma;
29142990;01/01/2016;;KG;Quilograma;
29143100;01/01/2016;;KG;Quilograma;
29143910;01/01/2016;;KG;Quilograma;
29143990;01/01/2016;;KG;Quilograma;
29144010;01/01/2016;;KG;Quilograma;
29144091;01/01/2016;;KG;Quilograma;
29144099;01/01/2016;;KG;Quilograma;
29145010;01/01/2016;;KG;Quilograma;
29145020;01/01/2016;;KG;Quilograma;
29145090;01/01/2016;;KG;Quilograma;
29146100;01/01/2016;;KG;Quilograma;
29146200;01/01/2017;;KG;Quilograma;
29146910;01/01/2016;;KG;Quilograma;
29146920;01/01/2016;;KG;Quilograma;
29146990;01/01/2016;;KG;Quilograma;
29147100;01/01/2017;;KG;Quilograma;
29147911;01/01/2017;;KG;Quilograma;
29147919;01/01/2017;;KG;Quilograma;
29147921;01/01/2017;;KG;Quilograma;
29147922;01/01/2017;;KG;Quilograma;
29147929;01/01/2017;;KG;Quilograma;
29147990;01/01/2017;;KG;Quilograma;
29151100;01/01/2016;;KG;Quilograma;
29151210;01/01/2016;;KG;Quilograma;
29151290;01/01/2016;;KG;Quilograma;
29151310;01/01/2016;;KG;Quilograma;
29151390;01/01/2016;;KG;Quilograma;
29152100;01/01/2016;;KG;Quilograma;
29152400;01/01/2016;;KG;Quilograma;
29152910;01/01/2016;;KG;Quilograma;
29152920;01/01/2016;;KG;Quilograma;
29152990;01/01/2016;;KG;Quilograma;
29153100;01/01/2016;;KG;Quilograma;
29153200;01/01/2016;;KG;Quilograma;
29153300;01/01/2016;;KG;Quilograma;
29153600;01/01/2016;;KG;Quilograma;
29153910;01/01/2016;;KG;Quilograma;
29153921;01/01/2016;;KG;Quilograma;
29153929;01/01/2016;;KG;Quilograma;
29153931;01/01/2016;;KG;Quilograma;
29153932;01/01/2016;;KG;Quilograma;
29153939;01/01/2016;;KG;Quilograma;
29153941;01/01/2016;;KG;Quilograma;
29153942;01/01/2016;;KG;Quilograma;
29153951;01/01/2016;;KG;Quilograma;
29153952;01/01/2016;;KG;Quilograma;
29153953;01/01/2016;;KG;Quilograma;
29153954;01/01/2016;;KG;Quilograma;
29153955;01/01/2016;;KG;Quilograma;
29153961;01/01/2016;;KG;Quilograma;
29153962;01/01/2016;;KG;Quilograma;
29153963;01/01/2016;;KG;Quilograma;
29153991;01/01/2016;;KG;Quilograma;
29153992;01/01/2016;;KG;Quilograma;
29153993;01/01/2016;;KG;Quilograma;
29153994;01/01/2016;;KG;Quilograma;
29153999;01/01/2016;;KG;Quilograma;
29154010;01/01/2016;;KG;Quilograma;
29154020;01/01/2016;;KG;Quilograma;
29154090;01/01/2016;;KG;Quilograma;
29155010;01/01/2016;;KG;Quilograma;
29155020;01/01/2016;;KG;Quilograma;
29155030;01/01/2016;;KG;Quilograma;
29156011;01/01/2016;;KG;Quilograma;
29156012;01/01/2016;;KG;Quilograma;
29156019;01/01/2016;;KG;Quilograma;
29156021;01/01/2016;;KG;Quilograma;
29156029;01/01/2016;;KG;Quilograma;
29157011;01/01/2016;;KG;Quilograma;
29157019;01/01/2016;;KG;Quilograma;
29157020;01/01/2016;;KG;Quilograma;
29157031;01/01/2016;;KG;Quilograma;
29157039;01/01/2016;;KG;Quilograma;
29157040;01/01/2016;;KG;Quilograma;
29159010;01/01/2016;;KG;Quilograma;
29159021;01/01/2016;;KG;Quilograma;
29159022;01/01/2016;;KG;Quilograma;
29159023;01/01/2016;;KG;Quilograma;
29159024;01/01/2016;;KG;Quilograma;
29159029;01/01/2016;;KG;Quilograma;
29159031;01/01/2016;;KG;Quilograma;
29159032;01/01/2016;;KG;Quilograma;
29159033;01/01/2016;;KG;Quilograma;
29159039;01/01/2016;;KG;Quilograma;
29159041;01/01/2016;;KG;Quilograma;
29159043;01/07/2021;;KG;Quilograma;
29159049;01/07/2021;;KG;Quilograma;
29159050;01/01/2016;;KG;Quilograma;
29159060;01/01/2016;;KG;Quilograma;
29159090;01/01/2016;;KG;Quilograma;
29161110;01/01/2016;;KG;Quilograma;
29161120;01/01/2016;;KG;Quilograma;
29161210;01/01/2016;;KG;Quilograma;
29161220;01/01/2016;;KG;Quilograma;
29161230;01/01/2016;;KG;Quilograma;
29161240;01/01/2016;;KG;Quilograma;
29161290;01/01/2016;;KG;Quilograma;
29161310;01/01/2016;;KG;Quilograma;
29161320;01/01/2016;;KG;Quilograma;
29161410;01/01/2016;;KG;Quilograma;
29161420;01/01/2016;;KG;Quilograma;
29161430;01/01/2016;;KG;Quilograma;
29161490;01/01/2016;;KG;Quilograma;
29161511;01/01/2016;;KG;Quilograma;
29161519;01/01/2016;;KG;Quilograma;
29161520;01/01/2016;;KG;Quilograma;
29161600;01/01/2016;;KG;Quilograma;
29161911;01/01/2016;;KG;Quilograma;
29161919;01/01/2016;;KG;Quilograma;
29161921;01/01/2016;;KG;Quilograma;
29161922;01/01/2016;;KG;Quilograma;
29161923;01/01/2016;;KG;Quilograma;
29161929;01/01/2016;;KG;Quilograma;
29161990;01/01/2016;;KG;Quilograma;
29162011;01/01/2016;;KG;Quilograma;
29162012;01/01/2016;;KG;Quilograma;
29162013;01/01/2016;;KG;Quilograma;
29162014;01/01/2016;;KG;Quilograma;
29162015;01/01/2016;;KG;Quilograma;
29162019;01/01/2016;;KG;Quilograma;
29162090;01/01/2016;;KG;Quilograma;
29163110;01/01/2016;;KG;Quilograma;
29163121;01/01/2016;;KG;Quilograma;
29163122;01/01/2016;;KG;Quilograma;
29163129;01/01/2016;;KG;Quilograma;
29163131;01/01/2016;;KG;Quilograma;
29163132;01/01/2016;;KG;Quilograma;
29163139;01/01/2016;;KG;Quilograma;
29163210;01/01/2016;;KG;Quilograma;
29163220;01/01/2016;;KG;Quilograma;
29163400;01/01/2016;;KG;Quilograma;
29163910;01/01/2016;;KG;Quilograma;
29163920;01/01/2016;;KG;Quilograma;
29163930;01/01/2016;;KG;Quilograma;
29163940;01/01/2016;;KG;Quilograma;
29163990;01/01/2016;;KG;Quilograma;
29171110;01/01/2016;;KG;Quilograma;
29171120;01/01/2016;;KG;Quilograma;
29171210;01/01/2016;;KG;Quilograma;
29171220;01/01/2016;;KG;Quilograma;
29171310;01/01/2016;;KG;Quilograma;
29171321;01/01/2016;;KG;Quilograma;
29171322;01/01/2016;;KG;Quilograma;
29171323;01/01/2016;;KG;Quilograma;
29171329;01/01/2016;;KG;Quilograma;
29171400;01/01/2016;;KG;Quilograma;
29171910;01/01/2016;;KG;Quilograma;
29171921;01/01/2016;;KG;Quilograma;
29171922;01/01/2016;;KG;Quilograma;
29171930;01/01/2016;;KG;Quilograma;
29171990;01/01/2016;;KG;Quilograma;
29172000;01/01/2016;;KG;Quilograma;
29173200;01/01/2016;;KG;Quilograma;
29173300;01/01/2016;;KG;Quilograma;
29173400;01/01/2016;;KG;Quilograma;
29173500;01/01/2016;;KG;Quilograma;
29173600;01/01/2016;;KG;Quilograma;
29173700;01/01/2016;;KG;Quilograma;
29173911;01/01/2016;;KG;Quilograma;
29173919;01/01/2016;;KG;Quilograma;
29173920;01/01/2016;;KG;Quilograma;
29173931;01/01/2016;;KG;Quilograma;
29173939;01/01/2016;;KG;Quilograma;
29173940;01/01/2016;;KG;Quilograma;
29173950;01/01/2016;;KG;Quilograma;
29173990;01/01/2016;;KG;Quilograma;
29181100;01/01/2016;;KG;Quilograma;
29181200;01/01/2016;;KG;Quilograma;
29181310;01/01/2016;;KG;Quilograma;
29181320;01/01/2016;;KG;Quilograma;
29181400;01/01/2016;;KG;Quilograma;
29181500;01/01/2016;;KG;Quilograma;
29181610;01/01/2016;;KG;Quilograma;
29181690;01/01/2016;;KG;Quilograma;
29181700;01/01/2017;;KG;Quilograma;
29181800;01/01/2016;;KG;Quilograma;
29181910;01/01/2016;;KG;Quilograma;
29181921;01/01/2016;;KG;Quilograma;
29181922;01/01/2016;;KG;Quilograma;
29181929;01/01/2016;;KG;Quilograma;
29181930;01/01/2016;;KG;Quilograma;
29181942;01/01/2016;;KG;Quilograma;
29181943;01/01/2016;;KG;Quilograma;
29181990;01/01/2016;;KG;Quilograma;
29182110;01/01/2016;;KG;Quilograma;
29182120;01/01/2016;;KG;Quilograma;
29182211;01/01/2016;;KG;Quilograma;
29182212;01/01/2016;;KG;Quilograma;
29182219;01/01/2016;;KG;Quilograma;
29182220;01/01/2016;;KG;Quilograma;
29182300;01/01/2016;;KG;Quilograma;
29182910;01/01/2016;;KG;Quilograma;
29182921;01/01/2016;;KG;Quilograma;
29182922;01/01/2016;;KG;Quilograma;
29182923;01/01/2016;;KG;Quilograma;
29182929;01/01/2016;;KG;Quilograma;
29182930;01/01/2016;;KG;Quilograma;
29182940;01/01/2016;;KG;Quilograma;
29182950;01/01/2016;;KG;Quilograma;
29182990;01/01/2016;;KG;Quilograma;
29183010;01/01/2016;;KG;Quilograma;
29183020;01/01/2016;;KG;Quilograma;
29183031;01/01/2016;;KG;Quilograma;
29183032;01/01/2016;;KG;Quilograma;
29183033;01/01/2016;;KG;Quilograma;
29183039;01/01/2016;;KG;Quilograma;
29183040;01/01/2016;;KG;Quilograma;
29183090;01/01/2016;;KG;Quilograma;
29189100;01/01/2016;;KG;Quilograma;
29189911;01/01/2016;;KG;Quilograma;
29189912;01/01/2016;;KG;Quilograma;
29189919;01/01/2016;;KG;Quilograma;
29189921;01/01/2016;;KG;Quilograma;
29189929;01/01/2016;;KG;Quilograma;
29189930;01/01/2016;;KG;Quilograma;
29189940;01/01/2016;;KG;Quilograma;
29189950;01/01/2016;;KG;Quilograma;
29189960;01/01/2016;;KG;Quilograma;
29189991;01/01/2016;;KG;Quilograma;
29189992;01/01/2016;;KG;Quilograma;
29189993;01/01/2016;;KG;Quilograma;
29189994;01/01/2016;;KG;Quilograma;
29189999;01/01/2016;;KG;Quilograma;
29191000;01/01/2016;;KG;Quilograma;
29199010;01/01/2016;;KG;Quilograma;
29199020;01/01/2016;;KG;Quilograma;
29199030;01/01/2016;;KG;Quilograma;
29199040;01/01/2016;;KG;Quilograma;
29199050;01/01/2016;;KG;Quilograma;
29199060;01/01/2016;;KG;Quilograma;
29199090;01/01/2016;;KG;Quilograma;
29201110;01/01/2016;;KG;Quilograma;
29201120;01/01/2016;;KG;Quilograma;
29201910;01/01/2016;;KG;Quilograma;
29201920;01/01/2016;;KG;Quilograma;
29201990;01/01/2016;;KG;Quilograma;
29202100;01/01/2017;;KG;Quilograma;
29202200;01/01/2017;;KG;Quilograma;
29202300;01/01/2017;;KG;Quilograma;
29202400;01/01/2017;;KG;Quilograma;
29202910;01/01/2017;;KG;Quilograma;
29202920;01/01/2017;;KG;Quilograma;
29202930;01/01/2017;;KG;Quilograma;
29202940;01/01/2017;;KG;Quilograma;
29202950;01/01/2017;;KG;Quilograma;
29202990;01/01/2017;;KG;Quilograma;
29203000;01/01/2017;;KG;Quilograma;
29209022;01/01/2016;;KG;Quilograma;
29209029;01/01/2016;;KG;Quilograma;
29209031;01/01/2016;;KG;Quilograma;
29209032;01/01/2016;;KG;Quilograma;
29209033;01/01/2016;;KG;Quilograma;
29209039;01/01/2016;;KG;Quilograma;
29209041;01/01/2016;;KG;Quilograma;
29209042;01/01/2016;;KG;Quilograma;
29209049;01/01/2016;;KG;Quilograma;
29209051;01/01/2016;;KG;Quilograma;
29209059;01/01/2016;;KG;Quilograma;
29209090;01/01/2016;;KG;Quilograma;
29211111;01/01/2016;;KG;Quilograma;
29211112;01/01/2016;;KG;Quilograma;
29211121;01/01/2016;;KG;Quilograma;
29211122;01/01/2016;;KG;Quilograma;
29211123;01/01/2016;;KG;Quilograma;
29211129;01/01/2016;;KG;Quilograma;
29211131;01/01/2016;;KG;Quilograma;
29211132;01/01/2016;;KG;Quilograma;
29211139;01/01/2016;;KG;Quilograma;
29211200;01/01/2017;;KG;Quilograma;
29211300;01/01/2017;;KG;Quilograma;
29211400;01/01/2017;;KG;Quilograma;
29211911;01/01/2016;;KG;Quilograma;
29211912;01/01/2016;;KG;Quilograma;
29211913;01/01/2016;;KG;Quilograma;
29211914;01/01/2016;;KG;Quilograma;
29211915;01/01/2016;;KG;Quilograma;
29211919;01/01/2016;;KG;Quilograma;
29211921;01/01/2016;;KG;Quilograma;
29211922;01/01/2016;;KG;Quilograma;
29211923;01/01/2016;;KG;Quilograma;
29211924;01/01/2016;;KG;Quilograma;
29211929;01/01/2016;;KG;Quilograma;
29211931;01/01/2016;;KG;Quilograma;
29211939;01/01/2016;;KG;Quilograma;
29211941;01/01/2016;;KG;Quilograma;
29211949;01/01/2016;;KG;Quilograma;
29211991;01/01/2016;;KG;Quilograma;
29211992;01/01/2016;;KG;Quilograma;
29211993;01/01/2016;;KG;Quilograma;
29211994;01/07/2018;;KG;Quilograma;
29211999;01/01/2016;;KG;Quilograma;
29212100;01/01/2016;;KG;Quilograma;
29212200;01/01/2016;;KG;Quilograma;
29212910;01/01/2016;;KG;Quilograma;
29212920;01/01/2016;;KG;Quilograma;
29212990;01/01/2016;;KG;Quilograma;
29213011;01/01/2016;;KG;Quilograma;
29213012;01/01/2016;;KG;Quilograma;
29213019;01/01/2016;;KG;Quilograma;
29213020;01/01/2016;;KG;Quilograma;
29213090;01/01/2016;;KG;Quilograma;
29214100;01/01/2016;;KG;Quilograma;
29214211;01/01/2016;;KG;Quilograma;
29214219;01/01/2016;;KG;Quilograma;
29214221;01/01/2016;;KG;Quilograma;
29214229;01/01/2016;;KG;Quilograma;
29214231;01/01/2016;;KG;Quilograma;
29214239;01/01/2016;;KG;Quilograma;
29214241;01/01/2016;;KG;Quilograma;
29214249;01/01/2016;;KG;Quilograma;
29214290;01/01/2016;;KG;Quilograma;
29214311;01/01/2016;;KG;Quilograma;
29214319;01/01/2016;;KG;Quilograma;
29214321;01/01/2016;;KG;Quilograma;
29214322;01/01/2016;;KG;Quilograma;
29214323;01/01/2016;;KG;Quilograma;
29214329;01/01/2016;;KG;Quilograma;
29214410;01/01/2016;;KG;Quilograma;
29214421;01/01/2016;;KG;Quilograma;
29214422;01/01/2016;;KG;Quilograma;
29214429;01/01/2016;;KG;Quilograma;
29214500;01/01/2016;;KG;Quilograma;
29214610;01/01/2016;;KG;Quilograma;
29214620;01/01/2016;;KG;Quilograma;
29214630;01/01/2016;;KG;Quilograma;
29214640;01/01/2016;;KG;Quilograma;
29214650;01/01/2016;;KG;Quilograma;
29214660;01/01/2016;;KG;Quilograma;
29214670;01/01/2016;;KG;Quilograma;
29214680;01/01/2016;;KG;Quilograma;
29214690;01/01/2016;;KG;Quilograma;
29214910;01/01/2016;;KG;Quilograma;
29214921;01/01/2016;;KG;Quilograma;
29214922;01/01/2016;;KG;Quilograma;
29214929;01/01/2016;;KG;Quilograma;
29214931;01/01/2016;;KG;Quilograma;
29214939;01/01/2016;;KG;Quilograma;
29214990;01/01/2016;;KG;Quilograma;
29215111;01/01/2016;;KG;Quilograma;
29215112;01/01/2016;;KG;Quilograma;
29215119;01/01/2016;;KG;Quilograma;
29215120;01/01/2016;;KG;Quilograma;
29215131;01/01/2016;;KG;Quilograma;
29215132;01/01/2016;;KG;Quilograma;
29215133;01/01/2016;;KG;Quilograma;
29215134;01/01/2016;;KG;Quilograma;
29215135;01/01/2016;;KG;Quilograma;
29215139;01/01/2016;;KG;Quilograma;
29215190;01/01/2016;;KG;Quilograma;
29215911;01/01/2016;;KG;Quilograma;
29215919;01/01/2016;;KG;Quilograma;
29215921;01/01/2016;;KG;Quilograma;
29215929;01/01/2016;;KG;Quilograma;
29215931;01/01/2016;;KG;Quilograma;
29215932;01/01/2016;;KG;Quilograma;
29215939;01/01/2016;;KG;Quilograma;
29215990;01/01/2016;;KG;Quilograma;
29221100;01/01/2016;;KG;Quilograma;
29221200;01/01/2016;;KG;Quilograma;
29221400;01/01/2016;;KG;Quilograma;
29221500;01/01/2017;;KG;Quilograma;
29221600;01/01/2017;;KG;Quilograma;
29221700;01/01/2017;;KG;Quilograma;
29221800;01/01/2017;;KG;Quilograma;
29221911;01/01/2016;;KG;Quilograma;
29221912;01/01/2016;;KG;Quilograma;
29221913;01/01/2016;;KG;Quilograma;
29221919;01/01/2016;;KG;Quilograma;
29221921;01/01/2016;;KG;Quilograma;
29221929;01/01/2016;;KG;Quilograma;
29221931;01/01/2016;;KG;Quilograma;
29221939;01/01/2016;;KG;Quilograma;
29221941;01/01/2016;;KG;Quilograma;
29221949;01/01/2016;;KG;Quilograma;
29221951;01/01/2016;;KG;Quilograma;
29221952;01/01/2016;;KG;Quilograma;
29221959;01/01/2016;;KG;Quilograma;
29221971;01/01/2017;;KG;Quilograma;
29221979;01/01/2017;;KG;Quilograma;
29221981;01/01/2017;;KG;Quilograma;
29221989;01/01/2017;;KG;Quilograma;
29221991;01/01/2016;;KG;Quilograma;
29221992;01/01/2016;;KG;Quilograma;
29221993;01/01/2016;;KG;Quilograma;
29221994;01/01/2016;;KG;Quilograma;
29221995;01/01/2016;;KG;Quilograma;
29221996;01/01/2017;;KG;Quilograma;
29221999;01/01/2016;;KG;Quilograma;
29222100;01/01/2016;;KG;Quilograma;
29222911;01/01/2016;;KG;Quilograma;
29222919;01/01/2016;;KG;Quilograma;
29222920;01/01/2016;;KG;Quilograma;
29222990;01/01/2016;;KG;Quilograma;
29223111;01/01/2016;;KG;Quilograma;
29223112;01/01/2016;;KG;Quilograma;
29223120;01/01/2016;;KG;Quilograma;
29223130;01/01/2016;;KG;Quilograma;
29223910;01/01/2016;;KG;Quilograma;
29223921;01/01/2016;;KG;Quilograma;
29223929;01/01/2016;;KG;Quilograma;
29223990;01/01/2016;;KG;Quilograma;
29224110;01/01/2016;;KG;Quilograma;
29224190;01/01/2016;;KG;Quilograma;
29224210;01/01/2016;;KG;Quilograma;
29224220;01/01/2016;;KG;Quilograma;
29224300;01/01/2016;;KG;Quilograma;
29224410;01/01/2016;;KG;Quilograma;
29224420;01/01/2016;;KG;Quilograma;
29224910;01/01/2016;;KG;Quilograma;
29224920;01/01/2016;;KG;Quilograma;
29224931;01/01/2016;;KG;Quilograma;
29224932;01/01/2016;;KG;Quilograma;
29224940;01/01/2016;;KG;Quilograma;
29224951;01/01/2016;;KG;Quilograma;
29224952;01/01/2016;;KG;Quilograma;
29224959;01/01/2016;;KG;Quilograma;
29224961;01/01/2016;;KG;Quilograma;
29224962;01/01/2016;;KG;Quilograma;
