NCM;inicio_vigencia;fim_vigencia;uTrib_abreviatura;Descricao_uTrib;
03021100;01/01/2016;;KG;Quilograma;
03021300;01/01/2016;;KG;Quilograma;
03021400;01/01/2016;;KG;Quilograma;
03021900;01/01/2016;;KG;Quilograma;
03022100;01/01/2016;;KG;Quilograma;
03022200;01/01/2016;;KG;Quilograma;
03022300;01/01/2016;;KG;Quilograma;
03022400;01/01/2016;;KG;Quilograma;
03022900;01/01/2016;;KG;Quilograma;
03023100;01/01/2016;;KG;Quilograma;
03023200;01/01/2016;;KG;Quilograma;
03023300;01/01/2016;;KG;Quilograma;
03023400;01/01/2016;;KG;Quilograma;
03023500;01/01/2016;;KG;Quilograma;
03023600;01/01/2016;;KG;Quilograma;
03023900;01/01/2016;;KG;Quilograma;
03024100;01/01/2016;;KG;Quilograma;
03024210;01/01/2016;;KG;Quilograma;
03024290;01/01/2016;;KG;Quilograma;
03024300;01/01/2016;;KG;Quilograma;
03024400;01/01/2016;;KG;Quilograma;
03024500;01/01/2016;;KG;Quilograma;
03024600;01/01/2016;;KG;Quilograma;
03024700;01/01/2016;;KG;Quilograma;
03024910;01/01/2017;;KG;Quilograma;
03024990;01/01/2017;;KG;Quilograma;
03025100;01/01/2016;;KG;Quilograma;
03025200;01/01/2016;;KG;Quilograma;
03025300;01/01/2016;;KG;Quilograma;
03025400;01/01/2016;;KG;Quilograma;
03025500;01/01/2016;;KG;Quilograma;
03025600;01/01/2016;;KG;Quilograma;
03025900;01/01/2016;;KG;Quilograma;
03027100;01/01/2016;;KG;Quilograma;
03027210;01/01/2016;;KG;Quilograma;
03027290;01/01/2016;;KG;Quilograma;
03027300;01/01/2016;;KG;Quilograma;
03027400;01/01/2016;;KG;Quilograma;
03027900;01/01/2016;;KG;Quilograma;
03028100;01/01/2016;;KG;Quilograma;
03028200;01/01/2016;;KG;Quilograma;
03028310;01/01/2016;;KG;Quilograma;
03028320;01/01/2016;;KG;Quilograma;
03028400;01/01/2016;;KG;Quilograma;
03028500;01/01/2016;;KG;Quilograma;
03028910;01/01/2017;;KG;Quilograma;
03028921;01/01/2016;;KG;Quilograma;
03028922;01/01/2016;;KG;Quilograma;
03028923;01/01/2016;;KG;Quilograma;
03028924;01/01/2016;;KG;Quilograma;
03028931;01/01/2016;;KG;Quilograma;
03028932;01/01/2016;;KG;Quilograma;
03028933;01/01/2016;;KG;Quilograma;
03028934;01/01/2016;;KG;Quilograma;
03028935;01/01/2016;;KG;Quilograma;
03028936;01/01/2016;;KG;Quilograma;
03028937;01/01/2016;;KG;Quilograma;
03028938;01/01/2016;;KG;Quilograma;
03028941;01/01/2016;;KG;Quilograma;
03028942;01/01/2016;;KG;Quilograma;
03028943;01/01/2016;;KG;Quilograma;
03028944;01/01/2016;;KG;Quilograma;
03028945;01/01/2016;;KG;Quilograma;
03028990;01/01/2016;;KG;Quilograma;
03029100;01/01/2017;31/03/2023;KG;Quilograma;
03029110;01/04/2023;;KG;Quilograma;
03029190;01/04/2023;;KG;Quilograma;
03029200;01/01/2017;;KG;Quilograma;
03029900;01/01/2017;;KG;Quilograma;
03031100;01/01/2016;;KG;Quilograma;
03031200;01/01/2016;;KG;Quilograma;
03031300;01/01/2016;;KG;Quilograma;
03031400;01/01/2016;;KG;Quilograma;
03031900;01/01/2016;;KG;Quilograma;
03032300;01/01/2016;;KG;Quilograma;
03032410;01/01/2016;;KG;Quilograma;
03032490;01/01/2016;;KG;Quilograma;
03032500;01/01/2016;;KG;Quilograma;
03032600;01/01/2016;;KG;Quilograma;
03032900;01/01/2016;;KG;Quilograma;
03033100;01/01/2016;;KG;Quilograma;
03033200;01/01/2016;;KG;Quilograma;
03033300;01/01/2016;;KG;Quilograma;
03033400;01/01/2016;;KG;Quilograma;
03033900;01/01/2016;;KG;Quilograma;
03034100;01/01/2016;;KG;Quilograma;
03034200;01/01/2016;;KG;Quilograma;
03034300;01/01/2016;;KG;Quilograma;
03034400;01/01/2016;;KG;Quilograma;
03034500;01/01/2016;;KG;Quilograma;
03034600;01/01/2016;;KG;Quilograma;
03034900;01/01/2016;;KG;Quilograma;
03035100;01/01/2016;;KG;Quilograma;
